name,output,flag,username,timestamp
,,,,2023-09-25 15:37:52.227415
E:\PyCharmProject\EasyPhoto\flagged\input_img\b4b0f921f56a6713baeafdfc85a4c9824e508d82\tmpc9maeuur.png,E:\PyCharmProject\EasyPhoto\flagged\output\e41c68ff15f761e917f178074cc250b2f2704fb5\tmpah3tgj_s.png,,,2023-09-25 16:06:18.286540
